-5 -5 	50 
-5 -4.5 	45.25 
-5 -4 	41 
-5 -3.5 	37.25 
-5 -3 	34 
-5 -2.5 	31.25 
-5 -2 	29 
-5 -1.5 	27.25 
-5 -1 	26 
-5 -0.5 	25.25 
-5 0 	25 
-5 0.5 	25.25 
-5 1 	26 
-5 1.5 	27.25 
-5 2 	29 
-5 2.5 	31.25 
-5 3 	34 
-5 3.5 	37.25 
-5 4 	41 
-5 4.5 	45.25 
-5 5 	50 
-4.5 -5 	45.25 
-4.5 -4.5 	40.5 
-4.5 -4 	36.25 
-4.5 -3.5 	32.5 
-4.5 -3 	29.25 
-4.5 -2.5 	26.5 
-4.5 -2 	24.25 
-4.5 -1.5 	22.5 
-4.5 -1 	21.25 
-4.5 -0.5 	20.5 
-4.5 0 	20.25 
-4.5 0.5 	20.5 
-4.5 1 	21.25 
-4.5 1.5 	22.5 
-4.5 2 	24.25 
-4.5 2.5 	26.5 
-4.5 3 	29.25 
-4.5 3.5 	32.5 
-4.5 4 	36.25 
-4.5 4.5 	40.5 
-4.5 5 	45.25 
-4 -5 	41 
-4 -4.5 	36.25 
-4 -4 	32 
-4 -3.5 	28.25 
-4 -3 	25 
-4 -2.5 	22.25 
-4 -2 	20 
-4 -1.5 	18.25 
-4 -1 	17 
-4 -0.5 	16.25 
-4 0 	16 
-4 0.5 	16.25 
-4 1 	17 
-4 1.5 	18.25 
-4 2 	20 
-4 2.5 	22.25 
-4 3 	25 
-4 3.5 	28.25 
-4 4 	32 
-4 4.5 	36.25 
-4 5 	41 
-3.5 -5 	37.25 
-3.5 -4.5 	32.5 
-3.5 -4 	28.25 
-3.5 -3.5 	24.5 
-3.5 -3 	21.25 
-3.5 -2.5 	18.5 
-3.5 -2 	16.25 
-3.5 -1.5 	14.5 
-3.5 -1 	13.25 
-3.5 -0.5 	12.5 
-3.5 0 	12.25 
-3.5 0.5 	12.5 
-3.5 1 	13.25 
-3.5 1.5 	14.5 
-3.5 2 	16.25 
-3.5 2.5 	18.5 
-3.5 3 	21.25 
-3.5 3.5 	24.5 
-3.5 4 	28.25 
-3.5 4.5 	32.5 
-3.5 5 	37.25 
-3 -5 	34 
-3 -4.5 	29.25 
-3 -4 	25 
-3 -3.5 	21.25 
-3 -3 	18 
-3 -2.5 	15.25 
-3 -2 	13 
-3 -1.5 	11.25 
-3 -1 	10 
-3 -0.5 	9.25 
-3 0 	9 
-3 0.5 	9.25 
-3 1 	10 
-3 1.5 	11.25 
-3 2 	13 
-3 2.5 	15.25 
