4 4 	32 
1.5 -2 	6.25 
4 -1 	17 
-3 -1.5 	11.25 
-0.5 -4.5 	20.5 
4 3 	25 
3 -3.5 	21.25 
4.5 2 	24.25 
-4 1 	17 
1.5 -4.5 	22.5 
0.5 -0.5 	0.5 
0.5 5 	25.25 
4 0 	16 
5 -3 	34 
1.5 3.5 	14.5 
1.5 3 	11.25 
4 -2.5 	22.25 
-3.5 3 	21.25 
-0.5 1 	1.25 
-5 -0.5 	25.25 
2.5 -1 	7.25 
0.5 -1.5 	2.5 
-4 5 	41 
4 2.5 	22.25 
-1.5 -4 	18.25 
4 -2 	20 
-2.5 -5 	31.25 
-4 4 	32 
0 3.5 	12.25 
-3.5 2.5 	18.5 
2.5 -1.5 	8.5 
5 4.5 	45.25 
4.5 -0.5 	20.5 
-0.5 0 	0.25 
4.5 3 	29.25 
-2.5 3 	15.25 
-1.5 1.5 	4.5 
5 3 	34 
-3 3.5 	21.25 
3.5 4 	28.25 
-3.5 -4.5 	32.5 
4.5 -4.5 	40.5 
1 1 	2 
-1.5 -1 	3.25 
1 -5 	26 
4 -0.5 	16.25 
-4 -4.5 	36.25 
-2.5 0 	6.25 
-1.5 2 	6.25 
-1 -1.5 	3.25 
0.5 0 	0.25 
-1.5 1 	3.25 
-4.5 -1 	21.25 
4.5 -4 	36.25 
2 -2 	8 
1.5 1.5 	4.5 
0 -2.5 	6.25 
-0.5 -3.5 	12.5 
4 4.5 	36.25 
-3 2.5 	15.25 
-3 3 	18 
3.5 -1 	13.25 
3.5 3.5 	24.5 
-3 2 	13 
0 4.5 	20.25 
-1 3.5 	13.25 
4 -5 	41 
0.5 -2 	4.25 
3.5 -2 	16.25 
-2.5 4.5 	26.5 
0 -4 	16 
-1 1 	2 
5 1 	26 
2.5 -3 	15.25 
1 -1.5 	3.25 
4 3.5 	28.25 
-3.5 1 	13.25 
-3 1 	10 
4.5 -3 	29.25 
-0.5 -2 	4.25 
-1 -2 	5 
-5 5 	50 
2 0.5 	4.25 
0 0.5 	0.25 
-2.5 0.5 	6.5 
3.5 -0.5 	12.5 
0 1.5 	2.25 
-4 1.5 	18.25 
-4.5 -3 	29.25 
2.5 -4 	22.25 
2.5 -0.5 	6.5 
1 -3.5 	13.25 
0 2 	4 
-1.5 5 	27.25 
5 2.5 	31.25 
1.5 5 	27.25 
3.5 -2.5 	18.5 
-2.5 5 	31.25 
0 5 	25 
-3 5 	34 
-4.5 -4 	36.25 
-2.5 -4 	22.25 
3.5 1 	13.25 
-2.5 -1.5 	8.5 
4.5 -5 	45.25 
-3.5 -1.5 	14.5 
2.5 4.5 	26.5 
-1 2.5 	7.25 
-2 -3 	13 
-0.5 -3 	9.25 
0.5 -1 	1.25 
2.5 1 	7.25 
-4.5 2.5 	26.5 
-3.5 4.5 	32.5 
-4.5 1.5 	22.5 
1.5 -0.5 	2.5 
-3.5 -3 	21.25 
3 1.5 	11.25 
-1.5 -4.5 	22.5 
1.5 1 	3.25 
0 -5 	25 
-4 -5 	41 
-4 4.5 	36.25 
-2.5 -4.5 	26.5 
1.5 2.5 	8.5 
-4 0.5 	16.25 
-5 -5 	50 
-2 4.5 	24.25 
-1 4.5 	21.25 
-2.5 1.5 	8.5 
-4.5 -2.5 	26.5 
1 4 	17 
